workflow_id,workflow_name,workflow_requirement,workflow_category,workflow_complexity,workflow_steps,expected_semantic_oracle
HD-WF31,Create low priority software ticket,,Ticket Creation,Simple,Open /tickets; click Create New Ticket using id new-ticket-link; enter title Software Login Issue; enter requester Test User; select category Software; select priority Low; select status Open; enter description; click Save Ticket using id save-ticket-button,"After saving, the ticket list should display Software Login Issue with requester Test User, category Software, priority Low, and status Open"
HD-WF32,Create high priority network ticket,,Ticket Creation,Simple,Open /tickets/new; enter title Network Down Issue; enter requester Network User; select category Network; select priority High; select status Open; enter description; click Save Ticket,"After saving, the ticket list should display Network Down Issue with priority High and status Open"
HD-WF33,Search ticket by title,,Search,Simple,Open /tickets; enter search keyword Login in input id keyword; click Search button using id search-button,The ticket list should show tickets matching keyword Login or display a valid no tickets found message
HD-WF34,Filter open tickets,,Filtering,Simple,Open /tickets; click Open Tickets link using id open-tickets-link,The filtered ticket list should display only open tickets or show a valid no tickets found message
HD-WF35,Filter high priority tickets,,Filtering,Simple,Open /tickets; click High Priority link using id high-priority-link,The filtered ticket list should display only high priority tickets or show a valid no tickets found message
HD-WF36,Create medium priority hardware ticket,Create a new hardware support ticket with medium priority and verify it appears in the ticket list.,Ticket Creation,Simple,Open /tickets/new; enter title Hardware Mouse Issue; enter requester Hardware User; select category Hardware; select priority Medium; select status Open; enter description; click Save Ticket,"After saving, the ticket list should display Hardware Mouse Issue with requester Hardware User, category Hardware, priority Medium, and status Open"
HD-WF37,Create critical account ticket,Create a new account support ticket with critical priority and verify it appears in the ticket list.,Ticket Creation,Simple,Open /tickets/new; enter title Account Locked Issue; enter requester Account User; select category Account; select priority Critical; select status Open; enter description; click Save Ticket,"After saving, the ticket list should display Account Locked Issue with requester Account User, category Account, priority Critical, and status Open"
HD-WF38,Filter closed tickets,Open the ticket list and filter tickets by Closed status.,Filtering,Simple,Open /tickets; click Closed Tickets link using id closed-tickets-link,The filtered page should display closed tickets or show a valid no tickets found message
HD-WF39,Filter in progress tickets,Open the ticket list and filter tickets by In Progress status.,Filtering,Simple,Open /tickets; click In Progress Tickets link using id progress-tickets-link,The filtered page should display in progress tickets or show a valid no tickets found message
HD-WF40,Search non existing ticket keyword,Search ticket list using a keyword that is unlikely to exist and verify valid empty result handling.,Search,Simple,Open /tickets; enter keyword UnknownTicketKeyword123 in input id keyword; click Search button using id search-button,The page should show no tickets found or should not display unrelated ticket results
HD-WF41,Filter closed tickets safely,Open the ticket list and filter tickets by Closed status using the Closed Tickets link.,Filtering,Simple,"Open /tickets; click Closed Tickets link using id closed-tickets-link; verify HelpDesk Tickets heading, filter message, and tickets table visibility","After clicking Closed Tickets, the page should display HelpDesk Tickets heading, filter message Status: Closed, and tickets table should remain visible"
HD-WF43,View ticket details,"Create a ticket, open its details page, and verify ticket details are displayed.",View,Medium,"Open /tickets/new; create ticket with title View Detail Ticket, requester View User, category General, priority Medium, status Open, and description; save ticket; from ticket list find the row containing View Detail Ticket; click the View link in that row; verify ticket details page using ids view-title, view-requester, view-category, view-priority, and view-status","The ticket details page should display View Detail Ticket, View User, General, Medium, and Open using view page element IDs"
HD-WF44,Create ticket and return to list,Create a ticket and verify that the user is returned to the ticket list after saving.,Ticket Creation,Simple,Open /tickets/new; enter title Return List Ticket; enter requester Return User; select category Software; select priority Medium; select status Open; enter description; click Save Ticket; verify ticket list table is visible and contains Return List Ticket,"After saving, the tickets table should be visible and should contain Return List Ticket"
HD-WF45,Search existing ticket keyword,Create a ticket with a unique title and search for that title from the ticket list.,Search,Medium,"Open /tickets/new; create ticket with title Search Existing Ticket, requester Search User, category Account, priority Low, status Open, and description; save ticket; enter Search Existing Ticket in keyword input; click Search; verify search result contains Search Existing Ticket",Search results should contain Search Existing Ticket
HD-WF42,Filter in progress tickets safely,Open the ticket list and filter tickets by In Progress status using the In Progress Tickets link.,Filtering,Simple,Open /tickets; click In Progress Tickets link using id progress-tickets-link; verify the tickets page remains visible and either in progress ticket results or valid empty result message is displayed,"After clicking In Progress Tickets, the page should show HelpDesk Tickets heading and the tickets table or No tickets found message"
HD-WF46,Mark ticket as in progress,"Create a ticket, open its details page, mark it as In Progress, and verify updated status.",Status Update,Medium,"Open /tickets/new; create ticket with title Progress Ticket, requester Progress User, category General, priority Medium, status Open, and description; save ticket; from ticket list find row containing Progress Ticket and click View; on details page click Mark In Progress using id progress-ticket-link; verify ticket list contains Progress Ticket and In Progress","After marking progress, the ticket status should become In Progress"
HD-WF47,Close ticket,"Create a ticket, open details page, close it, and verify Closed status.",Status Update,Medium,"Open /tickets/new; create ticket with title Close Ticket, requester Close User, category Software, priority High, status Open, and description; save ticket; from ticket list find row containing Close Ticket and click View; on details page click Close Ticket using id close-ticket-link; verify ticket list contains Close Ticket and Closed","After closing, the ticket status should become Closed"
HD-WF48,Reopen closed ticket,"Create a closed ticket, open details page, reopen it, and verify Open status.",Status Update,Medium,"Open /tickets/new; create ticket with title Reopen Ticket, requester Reopen User, category Network, priority Medium, status Closed, and description; save ticket; from ticket list find row containing Reopen Ticket and click View; on details page click Reopen Ticket using id reopen-ticket-link; verify ticket list contains Reopen Ticket and Open","After reopening, the ticket status should become Open"
HD-WF49,Edit existing ticket,"Create a ticket, edit its title and priority, save it, and verify updated values.",Edit,Medium,"Open /tickets/new; create ticket with title Edit Original Ticket, requester Edit User, category Hardware, priority Low, status Open, and description; save ticket; from ticket list find row containing Edit Original Ticket and click Edit; update title to Edit Updated Ticket and priority to High; click Save Ticket; verify ticket list contains Edit Updated Ticket and High","After editing, the ticket list should show Edit Updated Ticket with priority High"
HD-WF50,Delete existing ticket,"Create a ticket, delete it from the ticket list, and verify it is removed.",Delete,Medium,"Open /tickets/new; create ticket with title Delete Ticket, requester Delete User, category Account, priority Low, status Open, and description; save ticket; from ticket list find row containing Delete Ticket and click Delete; verify ticket list no longer contains Delete Ticket","After deletion, Delete Ticket should not be visible in the ticket list"
